extendedPadding, resizeDimensions, randRot, colorJitter, imgPerspective, batchSize, weightDecay, learningRate, activationFunction, epochs, TrainingAcc, ValAcc, TrainingAccSD, ValAccSD, FINAL_TEST_ACCURACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,(224,TRUE,TRUE,TRUE,16,0.001,0.001,reLU,30,0.86945049,0.871304348,0.156224304,0.152709616,[0.7666666666666667,0.758333333,0.783333333,0.704166667,0.808333333,0.5,0.783333333,0.7625,0.833333333,0.825,0.683333333,0.683333333,0.845833333,0.783333333,0.683333333,0.829166667,0.675,0.7375,0.675,0.758333333,0.658333333,0.775,0.483333333,0.8375,0.795833333,0.729166667,0.629166667,0.766666667,0.691666667, 0.7916666666666666]
FALSE,(224,TRUE,TRUE,FALSE,16,0.001,0.001,reLU,30,0.948313384,0.943913043,0.076109951,0.082044987,[0.7041666666666667,0.841666667,0.825,0.791666667,0.795833333,0.8375,0.645833333,0.65,0.7875,0.716666667,0.6875,0.775,0.825,0.545833333,0.658333333,0.7375,0.8,0.808333333,0.795833333,0.6,0.795833333,0.666666667,0.766666667,0.729166667,0.733333333,0.791666667,0.825,0.816666667,0.775, 0.7708333333333334]
FALSE,(224,TRUE,FALSE,TRUE,16,0.001,0.001,reLU,30,0.926496192,0.933478261,0.097733563,0.087801331,[0.5708333333333333,0.5,0.458333333,0.5875,0.595833333,0.570833333,0.579166667,0.770833333,0.775,0.691666667,0.733333333,0.8,0.566666667,0.758333333,0.641666667,0.825,0.691666667,0.845833333,0.833333333,0.829166667,0.754166667,0.779166667,0.708333333,0.658333333,0.758333333,0.8375,0.745833333,0.845833333,0.758333333, 0.85]
FALSE,(224,TRUE,FALSE,FALSE,16,0.001,0.001,reLU,30,0.954243743,0.948695652,0.10491063,0.11584815,[0.5875,0.816666667,0.6375,0.791666667,0.7,0.791666667,0.683333333,0.7625,0.766666667,0.879166667,0.8,0.841666667,0.795833333,0.645833333,0.845833333,0.666666667,0.575,0.583333333,0.766666667,0.729166667,0.833333333,0.804166667,0.791666667,0.845833333,0.820833333,0.629166667,0.766666667,0.783333333,0.791666667, 0.825]
FALSE,(224,FALSE,TRUE,TRUE,16,0.001,0.001,reLU,30,0.981882481,0.982173913,0.024006807,0.026047071,[0.5083333333333333,0.5,0.641666667,0.466666667,0.845833333,0.7875,0.741666667,0.804166667,0.816666667,0.783333333,0.6875,0.679166667,0.633333333,0.8125,0.554166667,0.8375,0.825,0.845833333,0.729166667,0.7875,0.829166667,0.829166667,0.8,0.845833333,0.808333333,0.816666667,0.783333333,0.85,0.783333333, 0.8541666666666666]
FALSE,(224,FALSE,TRUE,FALSE,16,0.001,0.001,reLU,30,0.895674646,0.896956522,0.141143871,0.141288293,[0.6125,0.45,0.775,0.654166667,0.758333333,0.6875,0.679166667,0.779166667,0.845833333,0.533333333,0.804166667,0.716666667,0.720833333,0.6125,0.683333333,0.720833333,0.829166667,0.845833333,0.770833333,0.658333333,0.825,0.554166667,0.825,0.7,0.845833333,0.845833333,0.616666667,0.833333333,0.716666667, 0.8625]
FALSE,(224,FALSE,FALSE,TRUE,16,0.001,0.001,reLU,30,0.885010881,0.880434783,0.147582089,0.148480011,[0.6583333333333333,0.533333333,0.829166667,0.720833333,0.554166667,0.845833333,0.45,0.604166667,0.645833333,0.845833333,0.533333333,0.775,0.85,0.6125,0.866666667,0.7875,0.858333333,0.804166667,0.591666667,0.858333333,0.7375,0.658333333,0.525,0.825,0.804166667,0.804166667,0.829166667,0.829166667,0.666666667, 0.6]
FALSE,(224,FALSE,FALSE,FALSE,16,0.001,0.001,reLU,30,0.740369967,0.72,0.137467095,0.120885204,[0.5,0.445833333,0.45,0.6375,0.554166667,0.445833333,0.6125,0.629166667,0.55,0.445833333,0.645833333,0.575,0.445833333,0.625,0.466666667,0.758333333,0.783333333,0.554166667,0.829166667,0.4375,0.783333333,0.775,0.708333333,0.758333333,0.808333333,0.608333333,0.8125,0.5625,0.475, 0.5833333333333334]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO random rotations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
